#CODE      ;SED     ;SWMH;OTHER;VANILLA
#CODE,ENGLISH,FRENCH,GERMAN,,SPANISH,,,,,,,,,x,;;;;
W_L_34464  ;https://en.wikipedia.org/wiki/Nikephoros_Karantenos;http://en.wikipedia.org/wiki/Nikephoros_Karantenos;;
W_L_1232256;https://en.wikipedia.org/wiki/John_Petraliphas;http://en.wikipedia.org/wiki/John_Petraliphas;;
W_L_1232565;https://en.wikipedia.org/wiki/Badr_al-Jamali;http://en.wikipedia.org/wiki/Badr_al-Jamali;;
W_L_1232566;https://en.wikipedia.org/wiki/Al-Afdal_Shahanshah;http://en.wikipedia.org/wiki/Al-Afdal_Shahanshah;;
W_L_32912  ;https://en.wikipedia.org/wiki/Shirkuh;http://en.wikipedia.org/wiki/Shirkuh;;
W_L_1234911;https://en.wikipedia.org/wiki/Mu%27in_ad-Din_Unur;http://en.wikipedia.org/wiki/Mu%27in_ad-Din_Unur;;
W_L_1234912;https://en.wikipedia.org/wiki/Ismat_ad-Din_Khatun;http://en.wikipedia.org/wiki/Ismat_ad-Din_Khatun;;
W_L_1231616;https://en.wikipedia.org/wiki/Mahmud_al-Kashgari;http://en.wikipedia.org/wiki/Mahmud_al-Kashgari;;
W_L_1230216;https://en.wikipedia.org/wiki/Toghrul_of_Ghazna;http://en.wikipedia.org/wiki/Toghrul_of_Ghazna;;
W_L_1228873;https://en.wikipedia.org/wiki/Abdallah_ibn_Yasin;http://en.wikipedia.org/wiki/Abdallah_ibn_Yasin;;
W_L_1229942;https://en.wikipedia.org/wiki/Al-Basasiri;http://en.wikipedia.org/wiki/Al-Basasiri;;
W_L_3079   ;https://en.wikipedia.org/wiki/Aq_Sunqur_al-Hajib;http://en.wikipedia.org/wiki/Aq_Sunqur_al-Hajib;;
W_L_163100 ;https://en.wikipedia.org/wiki/Muhammad_ibn_Tahir;http://en.wikipedia.org/wiki/Muhammad_ibn_Tahir;;https://en.wikipedia.org/wiki/Muhammad_ibn_Tahir
W_L_163157 ;https://en.wikipedia.org/wiki/Isma%27il_ibn_Ahmad;http://en.wikipedia.org/wiki/Isma%27il_ibn_Ahmad;;
W_L_163159 ;https://en.wikipedia.org/wiki/Tahir_ibn_Abdallah;http://en.wikipedia.org/wiki/Tahir_ibn_Abdallah;;https://en.wikipedia.org/wiki/Tahir_ibn_Abdallah
W_L_163160 ;https://en.wikipedia.org/wiki/Ubaydallah_ibn_Abdallah_ibn_Tahir;http://en.wikipedia.org/wiki/Ubaydallah_ibn_Abdallah_ibn_Tahir;;
W_L_163161 ;https://en.wikipedia.org/wiki/Sulayman_ibn_Abdallah_ibn_Tahir;http://en.wikipedia.org/wiki/Sulayman_ibn_Abdallah_ibn_Tahir;;
W_L_163162 ;https://en.wikipedia.org/wiki/Muhammad_ibn_Abdallah_ibn_Tahir;http://en.wikipedia.org/wiki/Muhammad_ibn_Abdallah_ibn_Tahir;;
W_L_163164 ;https://en.wikipedia.org/wiki/Amr_ibn_al-Layth;http://en.wikipedia.org/wiki/Amr_ibn_al-Layth;;
W_L_1231062;https://en.wikipedia.org/wiki/Imad_al-Dawla;http://en.wikipedia.org/wiki/Imad_al-Dawla;;
